id,title,metaDescription,char_count
advanced-scheduling,"Advanced Scheduling Automation, Run Tasks Only on Business Days by Country",Advanced Scheduling Automation using Python. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,135
agent-text-summarizer,"Summarize Text with an AI Agent, Generate Multilingual Summaries in Short, Medium, or Long Format",Summarize Text with an AI Agent using Google Gemini. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,147
ai-add-tasks-deepseek,Convert Natural Language Prompts to Structured Todoist Tasks with Deepseek AI,Convert Natural Language Prompts to Structured Todoist Tasks with Deepseek AI. Automate intelligent workflows without custom AI infrastructure.,143
ai-agent-calling-flows,Trigger the Right Automation with an AI Agent Based on User Intent,Trigger the Right Automation with an AI Agent Based on User Intent using Google Gemini. Automate intelligent workflows without custom AI infrastructure.,152
ai-book-summary-perplexity,Generate a book chapter summary using Perplexity AI and email it.,Generate a book chapter summary using Perplexity AI and email it. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,160
ai-check-weather-gemini,"Decide When to Take Action Using AI, Check Real-Time Weather and Trigger Automations",Decide When to Take Action Using AI using Google Gemini and Slack. Automate intelligent workflows without custom AI infrastructure.,131
ai-daily-digest-email-anthropic,Generate and Send a Personalized AI-Powered Daily Digest Email Every Morning,Generate and Send a Personalized AI-Powered Daily Digest Email Every Morning using Anthropic. Automate intelligent workflows without custom AI infrastructure.,158
ai-gdpr-breach-notification,Draft GDPR Breach Notifications for Supervisory Authorities and Data Subjects,"Draft GDPR Breach Notifications for Supervisory Authorities and Data Subjects using AI, HubSpot, and Python. Automate compliance workflows. Open-source.",152
ai-gdpr-compliance-audit,Run an AI-Powered GDPR Compliance Audit with Structured Findings and Executive Summary,Run an AI-Powered GDPR Compliance Audit with Structured Findings using AI Agent. Automate compliance reviews without custom infrastructure. Open-source.,152
ai-gdpr-dpa-reviewer,Review Data Processing Agreements Against GDPR Article 28 Requirements,"Review Data Processing Agreements Against GDPR Article 28 using AI Agent, Python, and Slack. Automate compliance reviews. Open-source and ready to use.",151
ai-gdpr-dpia-assistant,Conduct a GDPR Data Protection Impact Assessment (DPIA) with RAG on Official Legal Texts,Conduct a GDPR Data Protection Impact Assessment with RAG on official legal texts using Python. Automate compliance workflows. Open-source and ready to use.,156
ai-gdpr-privacy-policy-analyzer,Analyze Privacy Policies and Cookie Notices for GDPR and ePrivacy Compliance,Analyze Privacy Policies and Cookie Notices for GDPR and ePrivacy Compliance using AI Agent. Automate intelligent workflows without custom AI infrastructure.,157
ai-learning-roadmap-n8n,AI Learning Roadmap Generator with n8n,AI Learning Roadmap Generator with n8n using Python. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,147
ai-notion-summary-perplexity,Generate a Daily AI News Summary and Publish It to Notion with Slack Alerts,Generate a Daily AI News Summary and Publish It to Notion with Slack Alerts using Perplexity. Automate intelligent workflows without custom AI infrastructure.,158
ai-summarize-weekly-git-commits,Summarize Weekly Git Commits with AI and Send a Development Report to Slack,Summarize weekly Git commits with OpenAI and post a dev report to Slack. Keep teams aligned on code progress effortlessly. Open-source and ready to use.,152
airbyte-cloud-dbt-cloud,Build an ETL Pipeline with Airbyte Cloud and dbt Cloud for SaaS Analytics,Build an ETL Pipeline with Airbyte Cloud and dbt Cloud for SaaS Analytics. Automate this process reliably. Open-source and ready to use.,136
airbyte-cloud-dbt,Build an ETL Pipeline with Airbyte Cloud and dbt Core for SaaS Analytics,Build an ETL Pipeline with Airbyte Cloud and dbt Core for SaaS Analytics using Git. Automate this process reliably. Open-source and ready to use.,145
airbyte-cloud-sync,Run a Scheduled ETL Sync with Airbyte Cloud,Run a Scheduled ETL Sync with Airbyte Cloud. Automate this process reliably and focus on what matters. Open-source and ready to use.,132
airbyte-sync-parallel-with-dbt,Build an ETL Pipeline with Parallel Airbyte Syncs and dbt Core Transformations,Build an ETL Pipeline with Parallel Airbyte Syncs and dbt Core Transformations using Git. Automate this process reliably. Open-source and ready to use.,151
airbyte-sync-parallel,Run Parallel ETL Ingestion with Airbyte to Sync Multiple Data Sources,Run Parallel ETL Ingestion with Airbyte to Sync Multiple Data Sources. Automate this process reliably and focus on what matters. Open-source and ready to use.,158
airflow-trigger-dag,Trigger an Airflow DAG,Trigger an Airflow DAG. Automate this process reliably and focus on what matters. Open-source and ready to use.,111
ansible-config-drift,"Security & Compliance, Detect and Alert on Infrastructure Configuration Drift with Ansible",Detect and Alert on Infrastructure Configuration Drift with Ansible. Automate security compliance and reduce manual toil. Open-source and ready to use.,151
ansible-deploy-configuration,"Ansible Scalability, Deploy Configuration Files to Multiple Servers at Scale","Ansible Scalability, Deploy Configuration Files to Multiple Servers at Scale. Automate cloud operations without writing glue code. Open-source and ready to use.",160
ansible-local-message,"Ansible 101, How to Orchestrate and Run a Simple Ansible Playbook","Ansible 101, How to Orchestrate and Run a Simple Ansible Playbook. Automate this process reliably and focus on what matters. Open-source and ready to use.",154
api-json-to-postgres,"Extract data, transform it, and load it in parallel to S3 and Postgres — in less than 7 seconds!",Extract data using Python. Automate this process reliably and focus on what matters. Open-source and ready to use.,114
api-python-sql,"Build an ETL Pipeline from a REST API Using Python, Polars, and DuckDB",Build an ETL Pipeline from a REST API Using Python using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,152
apify-to-notion,Run Apify actor and update Notion,Run Apify actor and update Notion. Automate this process reliably and focus on what matters. Open-source and ready to use.,122
argocd-app-management,Manage an Argo CD Application with Sync Verification,Manage an Argo CD Application with Sync Verification using Kubernetes. Automate this process reliably and focus on what matters. Open-source and ready to use.,158
argocd-single-tenant-wave-rollout,"Single-tenant Argo CD rollout with waves, guarded sync strategy, and Status-based readiness gates",Single-tenant Argo CD rollout with waves. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,132
audit-logs-csv-export,Export Kestra audit logs as a CSV file and send out via Email.,Export Kestra audit logs as a CSV file and send out via Email using Schedule. Master Kestra workflow patterns. Open-source and ready to use.,140
auditlogs-to-bigquery,Stream kestra audit logs from a Kafka topic to BigQuery for analytics and troubleshooting,Stream kestra audit logs from a Kafka topic to BigQuery for analytics and troubleshooting. Automate cloud operations without writing glue code.,143
aws-batch-terraform-git,"High-Performance Computing, Run Parallel Python Workloads on AWS Batch with ECS Fargate",High-Performance Computing using Git and Terraform. Automate cloud operations without writing glue code. Open-source and ready to use.,134
aws-event-bridge,Publish Application and System Events to AWS EventBridge for Event-Driven Architectures,Publish Application and System Events to AWS EventBridge for Event-Driven Architectures. Automate cloud operations without writing glue code.,141
